Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C2, C5, C6",C0402,5,0.1uF,C88219
C10,C0402,1,0.01uF,C43253
"C12, C3, C4, C8",C0402,4,2.2uF,C43922
"C13, C14, C15",C0402,3,18nF,C107079
C7,C0402,1,1nF,C1636
C9,C0402,1,4.7uF,C112433
FB1,R0402,1,R-EU_R0402,C710330
L1,INDC1008X04,1,LQM2HPN1R0MJ0L,C216157
"R1, R2, R4, R5",R0402,4,10K,C103199
"R10, R6",R0402,2,1k1,C140120
"R11, R12, R13",0402,3,560R,
"R14, R15, R16",0402,3,10k,
"R17, R18, R19",0402,3,20k,
R3,R0402,1,1K,C107079
R7,R0402,1,2k2,C294652
"R8, R9",R0402,2,3k3,C72816
REG1,DRY6,1,TPS62237DRYR,C398923
REG2,TDFN4_1P2X1P6_MCH,1,MIC94310-JYMT-TR,C622559
U1,QFN50P300X300X100-16N,1,TSV854IQ4T,C2058240
"U2, U4",56TVSOP_SMALL,2,SN74CB3T16211SM,C2674751
U3,U169SMALL,1,MAX10,C1521935
X1,ASE,1,ASE,C7431354
