Designator,Mid X,Mid Y,Rotation,Layer
AUD0,152.6207,-81.2988,0.0,top
C1,139.5143,-90.2396,270.0,top
C10,151.2491,-130.524,180.0,top
C11,151.7571,-128.4412,270.0,top
C12,157.6499,-129.3556,270.0,top
C2,146.1691,-90.2396,270.0,top
C3,151.0967,-84.3976,0.0,top
C4,154.0939,-84.3976,0.0,top
C5,139.4889,-103.8032,270.0,top
C6,139.5651,-109.0864,90.0,top
C7,157.6511,-116.6556,90.0,top
C8,142.8163,-128.6096,270.0,top
C9,145.1531,-130.5654,180.0,top
CN1,153.6875,-86.2772,180.0,top
FB1,139.4635,-112.3376,90.0,top
JP1,148.9511,-124.6036,0.0,top
JTAG0,146.0675,-83.1276,0.0,top
L1,147.8201,-128.5588,270.0,top
POKEYMAX4,148.7511,-105.6036,270.0,top
R1,139.5143,-81.8068,90.0,top
R10,157.6511,-119.7036,90.0,top
R2,139.4889,-85.1596,270.0,top
R3,139.5143,-94.3608,90.0,top
R4,139.5143,-97.7072,90.0,top
R5,139.5143,-100.7552,270.0,top
R6,139.2603,-122.7516,90.0,top
R7,139.2603,-126.3076,90.0,top
R8,157.6499,-123.1072,270.0,top
R9,157.6499,-126.1552,270.0,top
REG1,145.1511,-128.761994,270.0,top
REG2,150.1823,-128.4458,270.0,top
RN1,144.4559,-87.044,180.0,top
RN2,144.4559,-90.044,180.0,top
RN3,154.0431,-89.0204,180.0,top
U1,148.9631,-88.798,0.0,top
U2,148.9631,-95.9036,90.0,top
U3,148.7511,-106.4036,0.0,top
U4,149.1155,-117.8036,270.0,top
X1,153.8907,-129.3048,90.0,top
