Designator,Mid X,Mid Y,Rotation,Layer
C1,143.375,-87.85,270.0,top
C10,150.99,-129.92,180.0,top
C11,151.125,-127.875,270.0,top
C12,154.345,-119.125,0.0,top
C13,153.69,-86.18,270.0,top
C14,153.68,-84.36,90.0,top
C15,148.56,-83.41,90.0,top
C2,148.55,-85.25,270.0,top
C3,150.86,-82.05,180.0,top
C4,150.89,-87.17,180.0,top
C5,143.375,-99.725,90.0,top
C6,143.55,-117.3,270.0,top
C7,153.895,-117.675,270.0,top
C8,143.54,-130.94,180.0,top
C9,145.36,-130.94,0.0,top
FB1,143.45,-114.56,270.0,top
L1,147.47,-129.05,270.0,top
R1,142.825,-94.54,270.0,top
R10,154.845,-117.695,270.0,top
R11,154.63,-86.25,90.0,top
R12,154.62,-84.38,270.0,top
R13,149.02,-82.03,180.0,top
R14,154.17,-89.52,180.0,top
R15,154.17,-90.47,0.0,top
R16,154.15,-82.98,180.0,top
R17,149.05,-87.2,0.0,top
R18,154.325,-87.7,0.0,top
R19,154.13,-82.04,0.0,top
R2,142.825,-96.4,90.0,top
R3,140.95,-79.775,180.0,top
R4,154.675,-99.7,90.0,top
R5,153.725,-99.7,90.0,top
R6,154.825,-124.005,90.0,top
R7,154.825,-125.915,90.0,top
R8,153.905,-120.55,90.0,top
R9,154.855,-120.565,270.0,top
REG1,144.38,-129.469994,180.0,top
REG2,149.53,-128.35,180.0,top
U1,151.12,-84.61,0.0,top
U2,148.73,-120.15,90.0,top
U3,148.7511,-107.1436,0.0,top
U4,148.54,-94.13,90.0,top
X1,153.53,-128.85,90.0,top
